Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.18190000	-0.00266256	0.18190000	-0.00245217	0.18190000	-0.00337897	0.18190000	-0.00192208	0.18190000	0.00095045	0.18190000	-0.00087433	0.18190000	-0.00065668	0.18190000	-0.00077282	0.18190000	0.00076763	0.18190000	0.00090375	0.18190000	0.00071077
0.18660000	-0.00277928	0.18660000	-0.00256398	0.18660000	-0.00352849	0.18660000	-0.00202801	0.18660000	0.00090267	0.18660000	-0.00095474	0.18660000	-0.00074969	0.18660000	-0.00082721	0.18660000	0.00072868	0.18660000	0.00086718	0.18660000	0.00067403
0.19130000	-0.00289727	0.19130000	-0.00267540	0.19130000	-0.00367889	0.19130000	-0.00213475	0.19130000	0.00085546	0.19130000	-0.00103540	0.19130000	-0.00084205	0.19130000	-0.00088307	0.19130000	0.00068759	0.19130000	0.00082781	0.19130000	0.00063487
0.19595000	-0.00301561	0.19595000	-0.00278654	0.19595000	-0.00382849	0.19595000	-0.00224058	0.19595000	0.00080814	0.19595000	-0.00111494	0.19595000	-0.00093398	0.19595000	-0.00093824	0.19595000	0.00064719	0.19595000	0.00078822	0.19595000	0.00059703
0.20065000	-0.00313509	0.20065000	-0.00289959	0.20065000	-0.00398059	0.20065000	-0.00234762	0.20065000	0.00075916	0.20065000	-0.00119704	0.20065000	-0.00102878	0.20065000	-0.00099572	0.20065000	0.00060525	0.20065000	0.00074746	0.20065000	0.00055677
0.20535000	-0.00325771	0.20535000	-0.00301448	0.20535000	-0.00413272	0.20535000	-0.00245837	0.20535000	0.00071026	0.20535000	-0.00127839	0.20535000	-0.00112699	0.20535000	-0.00105223	0.20535000	0.00056350	0.20535000	0.00070715	0.20535000	0.00051521
0.21005000	-0.00338187	0.21005000	-0.00313109	0.21005000	-0.00428805	0.21005000	-0.00256985	0.21005000	0.00065673	0.21005000	-0.00136086	0.21005000	-0.00122428	0.21005000	-0.00110962	0.21005000	0.00052088	0.21005000	0.00066501	0.21005000	0.00047217
0.21475000	-0.00350649	0.21475000	-0.00324812	0.21475000	-0.00444443	0.21475000	-0.00268232	0.21475000	0.00060655	0.21475000	-0.00144205	0.21475000	-0.00132147	0.21475000	-0.00116870	0.21475000	0.00047779	0.21475000	0.00062190	0.21475000	0.00042778
0.21945000	-0.00363223	0.21945000	-0.00336616	0.21945000	-0.00460121	0.21945000	-0.00279651	0.21945000	0.00055578	0.21945000	-0.00152635	0.21945000	-0.00141943	0.21945000	-0.00122884	0.21945000	0.00043450	0.21945000	0.00057932	0.21945000	0.00038341
0.22415000	-0.00375918	0.22415000	-0.00348476	0.22415000	-0.00476042	0.22415000	-0.00291233	0.22415000	0.00050133	0.22415000	-0.00161147	0.22415000	-0.00152149	0.22415000	-0.00128920	0.22415000	0.00038956	0.22415000	0.00053353	0.22415000	0.00033591
0.22885000	-0.00388882	0.22885000	-0.00360403	0.22885000	-0.00491873	0.22885000	-0.00303028	0.22885000	0.00044797	0.22885000	-0.00169477	0.22885000	-0.00162287	0.22885000	-0.00135077	0.22885000	0.00034363	0.22885000	0.00048746	0.22885000	0.00028772
0.23355000	-0.00401964	0.23355000	-0.00372662	0.23355000	-0.00508131	0.23355000	-0.00314931	0.23355000	0.00039412	0.23355000	-0.00178147	0.23355000	-0.00172664	0.23355000	-0.00141273	0.23355000	0.00029783	0.23355000	0.00044220	0.23355000	0.00023625
0.23825000	-0.00415227	0.23825000	-0.00385008	0.23825000	-0.00524370	0.23825000	-0.00327117	0.23825000	0.00034032	0.23825000	-0.00186782	0.23825000	-0.00183321	0.23825000	-0.00147605	0.23825000	0.00025001	0.23825000	0.00039548	0.23825000	0.00018471
0.24295000	-0.00428620	0.24295000	-0.00397523	0.24295000	-0.00540624	0.24295000	-0.00339402	0.24295000	0.00028329	0.24295000	-0.00195525	0.24295000	-0.00194110	0.24295000	-0.00154078	0.24295000	0.00020341	0.24295000	0.00034707	0.24295000	0.00013110
0.24765000	-0.00442245	0.24765000	-0.00410166	0.24765000	-0.00557226	0.24765000	-0.00351846	0.24765000	0.00022718	0.24765000	-0.00204374	0.24765000	-0.00204949	0.24765000	-0.00160715	0.24765000	0.00015428	0.24765000	0.00029691	0.24765000	0.00007502
0.25235000	-0.00456156	0.25235000	-0.00423012	0.25235000	-0.00573658	0.25235000	-0.00364590	0.25235000	0.00016887	0.25235000	-0.00213216	0.25235000	-0.00215973	0.25235000	-0.00167302	0.25235000	0.00010510	0.25235000	0.00024770	0.25235000	0.00001601
0.25705000	-0.00470257	0.25705000	-0.00436057	0.25705000	-0.00590375	0.25705000	-0.00377384	0.25705000	0.00010892	0.25705000	-0.00222184	0.25705000	-0.00226866	0.25705000	-0.00174132	0.25705000	0.00005416	0.25705000	0.00019592	0.25705000	-0.00004384
0.26175000	-0.00484613	0.26175000	-0.00449315	0.26175000	-0.00607267	0.26175000	-0.00390322	0.26175000	0.00004812	0.26175000	-0.00231340	0.26175000	-0.00238235	0.26175000	-0.00180953	0.26175000	0.00000330	0.26175000	0.00014231	0.26175000	-0.00010728
