Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.21475000	-0.00041255	0.21475000	0.00027348	0.21475000	-0.00019339	0.21475000	-0.00066695	0.21475000	-0.00108643	0.21475000	-0.00017251	0.21475000	-0.00039712	0.21475000	-0.00069804	0.21475000	-0.00161725	0.21475000	-0.00185995
0.21945000	-0.00043930	0.21945000	0.00025353	0.21945000	-0.00022095	0.21945000	-0.00071613	0.21945000	-0.00112789	0.21945000	-0.00019991	0.21945000	-0.00042581	0.21945000	-0.00073779	0.21945000	-0.00167594	0.21945000	-0.00192177
0.22415000	-0.00046615	0.22415000	0.00023217	0.22415000	-0.00024889	0.22415000	-0.00076570	0.22415000	-0.00117051	0.22415000	-0.00022765	0.22415000	-0.00045476	0.22415000	-0.00077869	0.22415000	-0.00173542	0.22415000	-0.00198484
0.22885000	-0.00049309	0.22885000	0.00021207	0.22885000	-0.00027763	0.22885000	-0.00081634	0.22885000	-0.00121270	0.22885000	-0.00025529	0.22885000	-0.00048379	0.22885000	-0.00081991	0.22885000	-0.00179536	0.22885000	-0.00204862
0.23355000	-0.00051969	0.23355000	0.00019095	0.23355000	-0.00030637	0.23355000	-0.00086823	0.23355000	-0.00125615	0.23355000	-0.00028379	0.23355000	-0.00051265	0.23355000	-0.00086164	0.23355000	-0.00185646	0.23355000	-0.00211327
0.23825000	-0.00054741	0.23825000	0.00016958	0.23825000	-0.00033542	0.23825000	-0.00091897	0.23825000	-0.00129931	0.23825000	-0.00031300	0.23825000	-0.00054231	0.23825000	-0.00090399	0.23825000	-0.00191764	0.23825000	-0.00217991
0.24295000	-0.00057515	0.24295000	0.00014723	0.24295000	-0.00036554	0.24295000	-0.00097154	0.24295000	-0.00134350	0.24295000	-0.00034282	0.24295000	-0.00057212	0.24295000	-0.00094638	0.24295000	-0.00198069	0.24295000	-0.00224712
0.24765000	-0.00060352	0.24765000	0.00012508	0.24765000	-0.00039568	0.24765000	-0.00102426	0.24765000	-0.00138827	0.24765000	-0.00037253	0.24765000	-0.00060236	0.24765000	-0.00098917	0.24765000	-0.00204373	0.24765000	-0.00231666
0.25235000	-0.00063196	0.25235000	0.00010283	0.25235000	-0.00042619	0.25235000	-0.00107734	0.25235000	-0.00143289	0.25235000	-0.00040288	0.25235000	-0.00063288	0.25235000	-0.00103316	0.25235000	-0.00210882	0.25235000	-0.00238767
0.25705000	-0.00066026	0.25705000	0.00007996	0.25705000	-0.00045736	0.25705000	-0.00113230	0.25705000	-0.00147725	0.25705000	-0.00043358	0.25705000	-0.00066473	0.25705000	-0.00107698	0.25705000	-0.00217465	0.25705000	-0.00246080
