Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.14430000	0.00190677	0.14430000	0.00069120	0.14430000	0.00043450	0.14430000	0.00098220	0.14430000	0.00131555	0.14430000	0.00012767	0.14430000	-0.00142424	0.14430000	-0.00171553	0.14430000	0.00086966	0.14430000	0.00040012	0.14430000	0.00155155	0.14430000	0.00069914	0.14430000	0.00103425
0.14900000	0.00188006	0.14900000	0.00068289	0.14900000	0.00036956	0.14900000	0.00095256	0.14900000	0.00128972	0.14900000	0.00007967	0.14900000	-0.00151570	0.14900000	-0.00186944	0.14900000	0.00083682	0.14900000	0.00036205	0.14900000	0.00153316	0.14900000	0.00069468	0.14900000	0.00099448
0.15370000	0.00185367	0.15370000	0.00067372	0.15370000	0.00030204	0.15370000	0.00092192	0.15370000	0.00126242	0.15370000	0.00003148	0.15370000	-0.00160710	0.15370000	-0.00202800	0.15370000	0.00080343	0.15370000	0.00032370	0.15370000	0.00151554	0.15370000	0.00069024	0.15370000	0.00095117
0.15840000	0.00182689	0.15840000	0.00066430	0.15840000	0.00023207	0.15840000	0.00089038	0.15840000	0.00123592	0.15840000	-0.00001746	0.15840000	-0.00169866	0.15840000	-0.00219147	0.15840000	0.00076927	0.15840000	0.00028476	0.15840000	0.00149499	0.15840000	0.00068555	0.15840000	0.00090600
0.16310000	0.00179933	0.16310000	0.00065463	0.16310000	0.00016174	0.16310000	0.00085809	0.16310000	0.00120991	0.16310000	-0.00006708	0.16310000	-0.00179058	0.16310000	-0.00236140	0.16310000	0.00073291	0.16310000	0.00024455	0.16310000	0.00147506	0.16310000	0.00068079	0.16310000	0.00086110
0.16780000	0.00177082	0.16780000	0.00064482	0.16780000	0.00008594	0.16780000	0.00082417	0.16780000	0.00118249	0.16780000	-0.00011815	0.16780000	-0.00188275	0.16780000	-0.00253567	0.16780000	0.00069648	0.16780000	0.00020349	0.16780000	0.00145467	0.16780000	0.00067581	0.16780000	0.00081647
0.17250000	0.00174044	0.17250000	0.00063489	0.17250000	0.00001193	0.17250000	0.00079167	0.17250000	0.00115405	0.17250000	-0.00016944	0.17250000	-0.00197589	0.17250000	-0.00271628	0.17250000	0.00065865	0.17250000	0.00016204	0.17250000	0.00143319	0.17250000	0.00067108	0.17250000	0.00076955
0.17720000	0.00170922	0.17720000	0.00062451	0.17720000	-0.00006481	0.17720000	0.00075664	0.17720000	0.00112381	0.17720000	-0.00022124	0.17720000	-0.00206945	0.17720000	-0.00290424	0.17720000	0.00061978	0.17720000	0.00011931	0.17720000	0.00141068	0.17720000	0.00066522	0.17720000	0.00071965
0.18190000	0.00167798	0.18190000	0.00061359	0.18190000	-0.00014810	0.18190000	0.00072223	0.18190000	0.00109399	0.18190000	-0.00027480	0.18190000	-0.00216362	0.18190000	-0.00309722	0.18190000	0.00057986	0.18190000	0.00007580	0.18190000	0.00138753	0.18190000	0.00066001	0.18190000	0.00067044
0.18660000	0.00164453	0.18660000	0.00060256	0.18660000	-0.00022898	0.18660000	0.00068607	0.18660000	0.00106220	0.18660000	-0.00032877	0.18660000	-0.00225838	0.18660000	-0.00329675	0.18660000	0.00054010	0.18660000	0.00003084	0.18660000	0.00136364	0.18660000	0.00065499	0.18660000	0.00061912
